element	sub_element	const_type	na	ab	bc	cd	de
ELECTRICAL SERVICES	ALARMS	GENERALLY	0.5	0.07576	0.10101	0.15152	0.30303
ELECTRICAL SERVICES	COMMUNICATIONS AND IT INFRASTRUCTURE	GENERALLY	0.5	0.12626	0.16835	0.25253	0.50505
ELECTRICAL SERVICES	LIFTS	GENERALLY	0.5	0.09881	0.13175	0.19763	0.39526
Redecorations	EXTERNAL - WALLS	PAINTED	0.5	0.21368	0.2849	0.42735	0.8547
Redecorations	"External - windows, doors, etc."	TIMBER	0.5	0.32051	0.42735	0.64103	1
Redecorations	"External - windows, doors, etc."	Metal / Plastic - unpainted	0.5	0.21368	0.2849	0.42735	0.8547
Redecorations	INTERNAL - WALLS	PAINTED	0.5	0.32051	0.42735	0.64103	1
Redecorations	INTERNAL - CEILINGS	PAINTED	0.5	0.32051	0.42735	0.64103	1
Redecorations	"Internal - windows, doors, etc."	GENERALLY	0.5	0.21368	0.2849	0.42735	0.8547
FIXED FURNITURE AND FITTINGS	FIXED FURNITURE AND FITTINGS	FIXED FURNITURE AND FITTINGS	0.5	0.11655	0.1554	0.2331	0.4662
FIXED FURNITURE AND FITTINGS	"TEACHING - SCIENCE, TECHNOLOGY"	GENERALLY	0.5	0.12821	0.17094	0.25641	0.51282
FIXED FURNITURE AND FITTINGS	TEACHING - OTHER	GENERALLY	0.5	0.10684	0.14245	0.21368	0.42735
FIXED FURNITURE AND FITTINGS	NON-TEACHING - CATERING KITCHEN	GENERALLY	0.5	0.12821	0.17094	0.25641	0.51282
FIXED FURNITURE AND FITTINGS	NON-TEACHING - OTHER	GENERALLY	0.5	0.10684	0.14245	0.21368	0.42735
EXTERNAL AREAS	EXTERNAL AREAS	EXTERNAL AREAS	0.5	0.07076	0.09644	0.14962	0.29586
EXTERNAL AREAS	ROADS AND CAR PARKS	TARMAC	0.5	0.09615	0.12821	0.19231	0.38462
EXTERNAL AREAS	ROADS AND CAR PARKS	IN-SITU CONCRETE	0.5	0.0641	0.08547	0.12821	0.25641
EXTERNAL AREAS	ROADS AND CAR PARKS	Slab/block paving	0.5	0.05495	0.07326	0.10989	0.21978
EXTERNAL AREAS	"Paths, pedestrian paved areas, play areas"	TARMAC	0.5	0.09615	0.12821	0.19231	0.38462
EXTERNAL AREAS	"Paths, pedestrian paved areas, play areas"	IN-SITU CONCRETE	0.5	0.0641	0.08547	0.12821	0.25641
EXTERNAL AREAS	"Paths, pedestrian paved areas, play areas"	SLABS / BLOCKS	0.5	0.05495	0.07326	0.10989	0.21978
EXTERNAL AREAS	SOFT LANDSCAPING	GENERALLY	0.5	0.07692	0.10256	0.15385	0.30769
EXTERNAL AREAS	MAINS SERVICES	GENERALLY	0.5	0.05828	0.0777	0.11655	0.2331
EXTERNAL AREAS	BOUNDARY WALLS AND FENCES	Brick / block / concrete / stone	0.5	0.09158	0.1221	0.18315	0.3663
EXTERNAL AREAS	BOUNDARY WALLS AND FENCES	Timber / Metal	0.5	0.09615	0.12821	0.19231	0.38462
EXTERNAL AREAS	BOUNDARY WALLS AND FENCES	CHAIN LINK	0.5	0.09158	0.1221	0.18315	0.3663
EXTERNAL AREAS	BOUNDARY WALLS AND FENCES	"No boundary / ""others"" boundary "	0.5	0.07692	0.10256	0.15385	0.30769
EXTERNAL AREAS	"Other walls, fences and barriers, including around tennis courts, MUGAs etc"	GENERALLY	0.5	0.08741	0.11655	0.17483	0.34965
EXTERNAL AREAS	SWIMMING POOLS - STRUCTURE	GENERALLY	0.5	0.03846	0.0641	0.15385	0.25641
EXTERNAL AREAS	SWIMMING POOLS - PLANT	GENERALLY	0.5	0.12821	0.17094	0.25641	0.51282
EXTERNAL AREAS	DRAINAGE - TREATMENT PLANT	GENERALLY	0.5	0.0641	0.08547	0.12821	0.25641
EXTERNAL AREAS	DRAINAGE - OTHER	GENERALLY	0.5	0.0641	0.08547	0.12821	0.25641
Playing Fields	GENERALLY	TARMAC	0.5	0.1	0.13333	0.2	0.4
Playing Fields	GENERALLY	"All-weather, artificial and specialist"	0.5	0.14286	0.19048	0.28571	0.57143
Playing Fields	GENERALLY	GRASS	0.5	0.2	0.26667	0.4	0.8
FLOORS AND STAIRS 	FLOORS AND STAIRS	FLOORS AND STAIRS	0.5	0.05	0.07	0.11	0.22
FLOORS AND STAIRS 	GROUND BEARING / HOLLOW FLOORS - STRUCTURE	GENERALLY	0.5	0.02797	0.04662	0.11189	0.18648
FLOORS AND STAIRS 	Floors -  Screed & finish  	CONCRETE / UNFINISHED SCREED / FLOOR PAINT	0.5	0.05	0.1	0.2	0.2
FLOORS AND STAIRS 	Floors -  Screed & finish  	SOFTWOOD BOARDING	0.5	0.0641	0.08547	0.12821	0.25641
FLOORS AND STAIRS 	Floors -  Screed & finish  	Hardwood strip / wood block / sprung flooring	0.5	0.0641	0.08547	0.12821	0.25641
FLOORS AND STAIRS 	Floors -  Screed & finish  	RAISED ACCESS FLOOR	0.5	0.07123	0.09497	0.14245	0.2849
FLOORS AND STAIRS 	Floors -  Screed & finish  	VINYL / RUBBER / CORK IN TILES / SHEET	0.5	0.12821	0.17094	0.25641	0.51282
FLOORS AND STAIRS 	Floors -  Screed & finish  	CERAMIC TILES / TERRAZZO	0.5	0.03846	0.05128	0.07692	0.15385
FLOORS AND STAIRS 	Floors -  Screed & finish  	CARPET	0.5	0.17483	0.2331	0.34965	0.6993
FLOORS AND STAIRS 	Staircases - Structure	CONCRETE	0.5	0.067	0.067	0.067	0.067
FLOORS AND STAIRS 	Staircases - Structure	TIMBER	0.5	0.02564	0.04274	0.10256	0.17094
FLOORS AND STAIRS 	Staircases - Structure	METAL	0.5	0.03077	0.05128	0.12308	0.20513
FLOORS AND STAIRS 	STAIRCASES - BALUSTRADES	TIMBER	0.5	0.03205	0.04274	0.0641	0.12821
FLOORS AND STAIRS 	STAIRCASES - BALUSTRADES	METAL; PAINTED	0.5	0.04274	0.05698	0.08547	0.17094
FLOORS AND STAIRS 	STAIRCASES - BALUSTRADES	Metal; powder coated / self finsihed	0.5	0.04274	0.05698	0.08547	0.17094
FLOORS AND STAIRS 	Staircases - Treads and risers	TIMBER	0.5	0.04396	0.07326	0.17582	0.29304
FLOORS AND STAIRS 	Staircases - Treads and risers	Vinyl / rubber / cork / carpet in tiles / sheet	0.5	0.12821	0.17094	0.25641	0.51282
FLOORS AND STAIRS 	Staircases - Treads and risers	CERAMIC TILES / TERRAZZO	0.5	0.03846	0.05128	0.07692	0.15385
"External Walls, Windows and Doors"	WINDOWS AND DOORS	TIMBER	0.5	0.06897	0.09195	0.13793	0.27586
"External Walls, Windows and Doors"	WINDOWS AND DOORS	METAL	0.5	0.08	0.10667	0.16	0.32
INTERNAL WALLS AND DOORS	Walls and partitions finishes	CONCRETE / BRICK / BLOCK / STONE	0.5	0.03205	0.04274	0.0641	0.12821
INTERNAL WALLS AND DOORS	Walls and partitions finishes	PLASTER / RENDER / PLASTERBOARD LINING	0.5	0.03846	0.05128	0.07692	0.15385
INTERNAL WALLS AND DOORS	Walls and partitions finishes	TIMBER LINING	0.5	0.12821	0.17094	0.25641	0.51282
INTERNAL WALLS AND DOORS	Walls and partitions finishes	CERAMIC TILES	0.5	0.07692	0.10256	0.15385	0.30769
Roofs	STRUCTURE	Flat roof  structure and deck - Generally	0.5	0.047	0.07834	0.18801	0.31336
Roofs	Coverings and insulation	FLAT ROOF - FLEXIBLE SHEET; SINGLE PLY OR BUILT UP	0.5	0.08696	0.14493	0.34783	0.57971
Roofs	Coverings and insulation	FLAT ROOF - ASPHALT	0.5	0.05797	0.09662	0.23188	0.38647
Roofs	Coverings and insulation	FLAT ROOF - FLAT METAL SHEET	0.5	0.08696	0.14493	0.34783	0.57971
Roofs	Coverings and insulation	FLAT ROOF - LIQUID APPLIED	0.5	0.08696	0.14493	0.34783	0.57971
Roofs	Coverings and insulation	FLAT ROOF - GLAZED AREAS / ROOFLIGHTS	0.5	0.06211	0.10352	0.24845	0.41408
Roofs	DRAINAGE	FLAT ROOF - CAST IRON	0.5	0.03478	0.05797	0.13913	0.23188
Roofs	DRAINAGE	Flat roof - Aluminium	0.5	0.04348	0.07246	0.17391	0.28986
